UID,Query,Counter balance,Validation Reaction Time,Test Reaction Time,Date,Correctness,Accuracy,Total Corrects,Method,GroundTruth,ClassifierCorrectness,ConfidenceScore,DifficultyLevel,ResNet-Prediction,KNN-Prediction,EMD-Prediction,CHM-Prediction,ResNet-Conf,KNN-Conf,EMD-Conf,CHM-Conf
5791dae225cb71000128ad5bNo-XAI,Hooded_Oriole_0105_90875.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,096.Hooded_Oriole,0,0.88,Hard,175.Pine_Warbler,175.Pine_Warbler,175.Pine_Warbler,175.Pine_Warbler,0.88,0.0125,0.017499999999999998,0.0125
5791dae225cb71000128ad5bNo-XAI,Chuck_Will_Widow_0051_796991.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,022.Chuck_will_Widow,1,0.72,Medium,022.Chuck_will_Widow,105.Whip_poor_Will,105.Whip_poor_Will,105.Whip_poor_Will,0.72,0.027500000000000004,0.0225,0.03
5791dae225cb71000128ad5bNo-XAI,Vesper_Sparrow_0065_125446.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,131.Vesper_Sparrow,0,0.63,Medium,115.Brewer_Sparrow,131.Vesper_Sparrow,131.Vesper_Sparrow,131.Vesper_Sparrow,0.63,0.0225,0.027500000000000004,0.03
5791dae225cb71000128ad5bNo-XAI,Western_Wood_Pewee_0009_98115.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,102.Western_Wood_Pewee,0,0.78,Hard,039.Least_Flycatcher,102.Western_Wood_Pewee,040.Olive_sided_Flycatcher,102.Western_Wood_Pewee,0.78,0.03,0.02,0.0225
5791dae225cb71000128ad5bNo-XAI,Warbling_Vireo_0126_158696.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,155.Warbling_Vireo,0,0.97,Hard,153.Philadelphia_Vireo,153.Philadelphia_Vireo,155.Warbling_Vireo,155.Warbling_Vireo,0.97,0.025,0.025,0.025
5791dae225cb71000128ad5bNo-XAI,Indigo_Bunting_0061_13259.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,014.Indigo_Bunting,0,0.6,Medium,054.Blue_Grosbeak,014.Indigo_Bunting,014.Indigo_Bunting,014.Indigo_Bunting,0.6,0.0375,0.0375,0.025
5791dae225cb71000128ad5bNo-XAI,Anna_Hummingbird_0130_56122.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,067.Anna_Hummingbird,0,0.89,Hard,068.Ruby_throated_Hummingbird,068.Ruby_throated_Hummingbird,068.Ruby_throated_Hummingbird,068.Ruby_throated_Hummingbird,0.89,0.025,0.025,0.0225
5791dae225cb71000128ad5bNo-XAI,Common_Raven_0060_102013.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,107.Common_Raven,1,0.58,Medium,107.Common_Raven,107.Common_Raven,029.American_Crow,029.American_Crow,0.58,0.0225,0.02,0.017499999999999998
5791dae225cb71000128ad5bNo-XAI,Nighthawk_0021_82562.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,092.Nighthawk,1,0.84,Easy,092.Nighthawk,092.Nighthawk,092.Nighthawk,105.Whip_poor_Will,0.84,0.03,0.03,0.027500000000000004
5791dae225cb71000128ad5bNo-XAI,Barn_Swallow_0086_132477.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,136.Barn_Swallow,0,0.81,Hard,014.Indigo_Bunting,014.Indigo_Bunting,014.Indigo_Bunting,014.Indigo_Bunting,0.81,0.0225,0.03,0.017499999999999998
5791dae225cb71000128ad5bNo-XAI,Cliff_Swallow_0068_134236.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,137.Cliff_Swallow,0,0.94,Hard,136.Barn_Swallow,136.Barn_Swallow,137.Cliff_Swallow,136.Barn_Swallow,0.94,0.025,0.025,0.03
5791dae225cb71000128ad5bNo-XAI,Pacific_Loon_0049_75780.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,086.Pacific_Loon,1,0.99,Easy,086.Pacific_Loon,086.Pacific_Loon,086.Pacific_Loon,086.Pacific_Loon,0.99,0.05,0.045,0.04
5791dae225cb71000128ad5bNo-XAI,Western_Gull_0012_53605.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,066.Western_Gull,0,0.84,Hard,062.Herring_Gull,062.Herring_Gull,062.Herring_Gull,066.Western_Gull,0.84,0.015,0.017499999999999998,0.015
5791dae225cb71000128ad5bNo-XAI,Mourning_Warbler_0045_166575.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,170.Mourning_Warbler,1,0.97,Easy,170.Mourning_Warbler,170.Mourning_Warbler,170.Mourning_Warbler,170.Mourning_Warbler,0.97,0.045,0.0375,0.0325
5791dae225cb71000128ad5bNo-XAI,Herring_Gull_0132_47395.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,062.Herring_Gull,0,0.89,Hard,059.California_Gull,059.California_Gull,066.Western_Gull,066.Western_Gull,0.89,0.017499999999999998,0.025,0.015
5791dae225cb71000128ad5bNo-XAI,Bronzed_Cowbird_0062_796238.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,026.Bronzed_Cowbird,1,0.98,Easy,026.Bronzed_Cowbird,026.Bronzed_Cowbird,026.Bronzed_Cowbird,026.Bronzed_Cowbird,0.98,0.045,0.045,0.03
5791dae225cb71000128ad5bNo-XAI,Cape_Glossy_Starling_0018_129356.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,134.Cape_Glossy_Starling,1,0.83,Easy,134.Cape_Glossy_Starling,134.Cape_Glossy_Starling,134.Cape_Glossy_Starling,134.Cape_Glossy_Starling,0.83,0.05,0.04,0.034999999999999996
5791dae225cb71000128ad5bNo-XAI,American_Crow_0088_25303.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,029.American_Crow,0,0.5,Medium,030.Fish_Crow,029.American_Crow,029.American_Crow,029.American_Crow,0.5,0.0225,0.0225,0.0225
5791dae225cb71000128ad5bNo-XAI,Carolina_Wren_0028_186526.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,195.Carolina_Wren,1,0.99,Easy,195.Carolina_Wren,195.Carolina_Wren,195.Carolina_Wren,195.Carolina_Wren,0.99,0.05,0.042499999999999996,0.04
5791dae225cb71000128ad5bNo-XAI,Le_Conte_Sparrow_0049_795220.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,124.Le_Conte_Sparrow,0,0.68,Medium,126.Nelson_Sharp_tailed_Sparrow,124.Le_Conte_Sparrow,126.Nelson_Sharp_tailed_Sparrow,117.Clay_colored_Sparrow,0.68,0.02,0.0225,0.017499999999999998
5791dae225cb71000128ad5bNo-XAI,Seaside_Sparrow_0062_796503.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,128.Seaside_Sparrow,1,0.98,Easy,128.Seaside_Sparrow,128.Seaside_Sparrow,128.Seaside_Sparrow,128.Seaside_Sparrow,0.98,0.04,0.03,0.0325
5791dae225cb71000128ad5bNo-XAI,Bank_Swallow_0063_129774.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,135.Bank_Swallow,0,0.43,Medium,137.Cliff_Swallow,136.Barn_Swallow,136.Barn_Swallow,136.Barn_Swallow,0.43,0.027500000000000004,0.025,0.02
5791dae225cb71000128ad5bNo-XAI,Red_Legged_Kittiwake_0058_795417.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,084.Red_legged_Kittiwake,1,0.99,Easy,084.Red_legged_Kittiwake,084.Red_legged_Kittiwake,084.Red_legged_Kittiwake,084.Red_legged_Kittiwake,0.99,0.0475,0.0375,0.04
5791dae225cb71000128ad5bNo-XAI,Northern_Waterthrush_0082_177243.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,183.Northern_Waterthrush,1,0.98,Easy,183.Northern_Waterthrush,183.Northern_Waterthrush,183.Northern_Waterthrush,183.Northern_Waterthrush,0.98,0.045,0.04,0.042499999999999996
5791dae225cb71000128ad5bNo-XAI,Acadian_Flycatcher_0072_795603.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,037.Acadian_Flycatcher,0,0.76,Hard,043.Yellow_bellied_Flycatcher,037.Acadian_Flycatcher,037.Acadian_Flycatcher,037.Acadian_Flycatcher,0.76,0.02,0.02,0.02
5791dae225cb71000128ad5bNo-XAI,Dark_Eyed_Junco_0083_66449.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,076.Dark_eyed_Junco,1,0.96,Easy,076.Dark_eyed_Junco,076.Dark_eyed_Junco,076.Dark_eyed_Junco,076.Dark_eyed_Junco,0.96,0.045,0.042499999999999996,0.045
5791dae225cb71000128ad5bNo-XAI,Great_Grey_Shrike_0048_106754.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,0,0.5666666666666667,17,ResNet-50,112.Great_Grey_Shrike,0,0.85,Hard,111.Loggerhead_Shrike,112.Great_Grey_Shrike,111.Loggerhead_Shrike,111.Loggerhead_Shrike,0.85,0.027500000000000004,0.027500000000000004,0.027500000000000004
5791dae225cb71000128ad5bNo-XAI,Marsh_Wren_0145_188193.jpg,6,412124.0,411022,2022-05-05 14:14:35.473,1,0.5666666666666667,17,ResNet-50,197.Marsh_Wren,1,0.99,Easy,197.Marsh_Wren,197.Marsh_Wren,197.Marsh_Wren,197.Marsh_Wren,0.99,0.042499999999999996,0.034999999999999996,0.04
