UID,Query,Prior Knowledge,Counter balance,Group Known,Group Unknown,Validation Reaction Time,Test Reaction Time,DATE,Group Validation Correct,Group Validation Incorrect,ImageNet,Correctness,User Accuracy,User Corrects,Method,GroundTruth,Parent-lvl12,Parent-lvl13,Parent-lvl14,ClassifierCorrectness,DifficultyLevel,ConfidenceScore,ResNet-Prediction,KNN-Prediction,EMD-Prediction,CHM-Prediction,ResNet-Conf,KNN-Conf,EMD-Conf,CHM-Conf,Real GTs,Real WNIDs,Parent-lvl12_real,Parent-lvl13_real,Parent-lvl14_real
6386009,ILSVRC2012_val_00027121.JPEG,0,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,1,0.7333333333333333,22,CHM-NN,n02112350,carnivore,canine,dog,1,Easy,1.0,keeshond,keeshond,keeshond,keeshond,0.99,1.0,1.0,1.0,['keeshond'],['n02112350'],['carnivore'],['canine'],['dog']
6386009,ILSVRC2012_val_00008987.JPEG,0,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,1,0.7333333333333333,22,CHM-NN,n01980166,invertebrate,invertebrate,invertebrate,1,Easy,0.9,fiddler_crab,fiddler_crab,fiddler_crab,fiddler_crab,0.99,0.95,0.9,0.9,['fiddler_crab'],['n01980166'],['invertebrate'],['invertebrate'],['invertebrate']
6386009,ILSVRC2012_val_00043672.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,0,0.7333333333333333,22,CHM-NN,n02093428,carnivore,canine,dog,0,Medium,0.6,American_Staffordshire_terrier,American_Staffordshire_terrier,American_Staffordshire_terrier,American_Staffordshire_terrier,0.62,0.85,0.75,0.6,['vizsla'],['n02100583'],['carnivore'],['canine'],['dog']
6386009,ILSVRC2012_val_00011479.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,1,0.7333333333333333,22,CHM-NN,n04350905,commodity,commodity,commodity,0,Easy,0.2,suit,suit,suit,unicycle,0.33,0.15,0.2,0.2,"['suit', 'Windsor_tie']","['n04350905', 'n04591157']","['commodity', 'commodity']","['commodity', 'commodity']","['commodity', 'commodity']"
6386009,ILSVRC2012_val_00034787.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,0,0.7333333333333333,22,CHM-NN,n07754684,natural_object,natural_object,natural_object,1,Medium,0.4,jackfruit,jackfruit,jackfruit,jackfruit,0.98,0.7,0.45,0.4,['jackfruit'],['n07754684'],['natural_object'],['natural_object'],['natural_object']
6386009,ILSVRC2012_val_00004887.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,0,0.7333333333333333,22,CHM-NN,n07695742,matter,matter,matter,0,Hard,0.9,bakery,bakery,bakery,bakery,0.86,0.9,0.75,0.9,['pretzel'],['n07695742'],['matter'],['matter'],['matter']
6386009,ILSVRC2012_val_00018707.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,1,0.7333333333333333,22,CHM-NN,n03916031,toiletry,toiletry,toiletry,1,Easy,1.0,perfume,perfume,perfume,perfume,0.99,0.95,0.95,1.0,['perfume'],['n03916031'],['toiletry'],['toiletry'],['toiletry']
6386009,ILSVRC2012_val_00020475.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,1,0.7333333333333333,22,CHM-NN,n02669723,commodity,commodity,commodity,0,Medium,0.5,academic_gown,bookshop,bookshop,bookshop,0.93,0.4,0.35,0.5,['academic_gown'],['n02669723'],['commodity'],['commodity'],['commodity']
6386009,ILSVRC2012_val_00026996.JPEG,0,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,1,0.7333333333333333,22,CHM-NN,n02107908,carnivore,canine,dog,1,Medium,0.55,Greater_Swiss_Mountain_dog,Greater_Swiss_Mountain_dog,Greater_Swiss_Mountain_dog,Greater_Swiss_Mountain_dog,0.67,0.6,0.4,0.55,"['Appenzeller', 'EntleBucher', 'Greater_Swiss_Mountain_dog']","['n02107908', 'n02108000', 'n02107574']","['carnivore', 'carnivore', 'carnivore']","['canine', 'canine', 'canine']","['dog', 'dog', 'dog']"
6386009,ILSVRC2012_val_00000260.JPEG,1,15,15,7,677682.7000005245,340827,2022-05-01 00:17:34.793,10,0,22,0,0.7333333333333333,22,CHM-NN,n04033995,covering,covering,covering,0,Medium,0.65,Labrador_retriever,Labrador_retriever,Labrador_retriever,Labrador_retriever,0.71,0.55,0.6,0.65,"['quilt', 'pillow']","['n04033995', 'n03938244']","['covering', 'padding']","['covering', 'padding']","['covering', 'padding']"
